Date,SA Contract,Power SA,Gas SA
18/11/2021,Sum-24,64.3,60.23
19/11/2021,Sum-24,62.4,59.01
22/11/2021,Sum-24,63.55,58.15
23/11/2021,Sum-24,63.8,59.555
24/11/2021,Sum-24,65.15,61.18
25/11/2021,Sum-24,65.05,62.85
26/11/2021,Sum-24,64.3,61.11
29/11/2021,Sum-24,65.85,63
30/11/2021,Sum-24,65.6,63.45
01/12/2021,Sum-24,66.4,63.8
02/12/2021,Sum-24,66.35,63.85
03/12/2021,Sum-24,67.15,65.1
06/12/2021,Sum-24,69.3,65.8
07/12/2021,Sum-24,71.7,68.75
08/12/2021,Sum-24,75.4,72.35
09/12/2021,Sum-24,74.25,68.945
10/12/2021,Sum-24,74.65,67.85
13/12/2021,Sum-24,75.1,70.3
14/12/2021,Sum-24,74.25,67.74
15/12/2021,Sum-24,76.15,67.15
16/12/2021,Sum-24,80.3,71.76
17/12/2021,Sum-24,80.1,73.12
20/12/2021,Sum-24,85.4,72.55
21/12/2021,Sum-24,87.65,74.89
22/12/2021,Sum-24,83.95,67.43
23/12/2021,Sum-24,79.4,65.85
24/12/2021,Sum-24,79.3,66.01
29/12/2021,Sum-24,79.4,65.21
30/12/2021,Sum-24,61.75,63.3
31/12/2021,Sum-24,65.7,55.35
04/01/2022,Sum-24,71,61.49
05/01/2022,Sum-24,75.95,66.56
06/01/2022,Sum-24,75.1,70.55
07/01/2022,Sum-24,72,64.22
10/01/2022,Sum-24,74.05,66.1
11/01/2022,Sum-24,73.25,67.54
12/01/2022,Sum-24,69.5,66.76
13/01/2022,Sum-24,70.85,69.32
14/01/2022,Sum-24,73.25,69.1
17/01/2022,Sum-24,74.1,67.85
18/01/2022,Sum-24,74.9,68.25
19/01/2022,Sum-24,73.25,68.4
20/01/2022,Sum-24,75.45,69.19
21/01/2022,Sum-24,76.35,67.66
24/01/2022,Sum-24,79.15,70.19
25/01/2022,Sum-24,79.7,70.11
26/01/2022,Sum-24,82.65,74.02
27/01/2022,Sum-24,82.5,76.42
28/01/2022,Sum-24,88.15,78.94
31/01/2022,Sum-24,89.15,79.24
01/02/2022,Sum-24,86.45,77.96
02/02/2022,Sum-24,89,79.95
03/02/2022,Sum-24,91.75,79.583
04/02/2022,Sum-24,95.1,82.845
07/02/2022,Sum-24,94.65,82.12
08/02/2022,Sum-24,93.05,81.12
09/02/2022,Sum-24,92.05,81.43
10/02/2022,Sum-24,92,83.16
11/02/2022,Sum-24,93.1,86.96
14/02/2022,Sum-24,95.65,87.8
15/02/2022,Sum-24,92.8,84.98
16/02/2022,Sum-24,93,83.46
17/02/2022,Sum-24,92.7,83.9
18/02/2022,Sum-24,93.25,82.6
21/02/2022,Sum-24,93.2,81.8
22/02/2022,Sum-24,94.5,87.71
23/02/2022,Sum-24,104.65,98.95
24/02/2022,Sum-24,108.1,108.81
25/02/2022,Sum-24,99.65,96.43
28/02/2022,Sum-24,94,95.24
01/03/2022,Sum-24,98.75,99.74
02/03/2022,Sum-24,104.05,104.73
03/03/2022,Sum-24,105.15,110.63
04/03/2022,Sum-24,109.95,115.079
07/03/2022,Sum-24,130.4,120.804
08/03/2022,Sum-24,122.35,114.997
09/03/2022,Sum-24,101.8,108.006
10/03/2022,Sum-24,100.55,100.899
11/03/2022,Sum-24,104.55,106.1
14/03/2022,Sum-24,102.25,95.76
15/03/2022,Sum-24,101.75,97.89
16/03/2022,Sum-24,99.05,95.87
17/03/2022,Sum-24,102,98.25
18/03/2022,Sum-24,102.5,100.61
21/03/2022,Sum-24,102,100.39
22/03/2022,Sum-24,102.25,103.9
23/03/2022,Sum-24,109.95,112.26
24/03/2022,Sum-24,104.6,110.02
25/03/2022,Sum-24,103.4,107.17
28/03/2022,Sum-24,106.35,107.49
29/03/2022,Sum-24,101.15,103
30/03/2022,Sum-24,103.15,101.67
31/03/2022,Sum-24,102.6,101.92
01/04/2022,Sum-24,105.5,105.46
04/04/2022,Sum-24,104.25,110.18
05/04/2022,Sum-24,105,111.92
06/04/2022,Sum-24,112,117.98
07/04/2022,Sum-24,111.75,118.03
08/04/2022,Sum-24,115.25,121.14
11/04/2022,Sum-24,116.75,125.5
12/04/2022,Sum-24,119,130.57
13/04/2022,Sum-24,131.2,141.95
14/04/2022,Sum-24,128.75,138.02
19/04/2022,Sum-24,129.75,137.78
20/04/2022,Sum-24,134,147.5
21/04/2022,Sum-24,139,157.1
22/04/2022,Sum-24,138.75,154.64
25/04/2022,Sum-24,136.75,154.32
26/04/2022,Sum-24,130.2,146.39
27/04/2022,Sum-24,135.25,144.1
28/04/2022,Sum-24,134.25,141.13
29/04/2022,Sum-24,133.5,138.21
03/05/2022,Sum-24,134.25,139.225
04/05/2022,Sum-24,140.2,146.425
05/05/2022,Sum-24,142.75,149.675
06/05/2022,Sum-24,141.9,149.725
09/05/2022,Sum-24,140,140.725
10/05/2022,Sum-24,139.8,139.75
11/05/2022,Sum-24,137.9,139.45
12/05/2022,Sum-24,138.5,142.85
13/05/2022,Sum-24,137.25,135
16/05/2022,Sum-24,136.75,134.375
17/05/2022,Sum-24,137,135.65
18/05/2022,Sum-24,132.8,134.25
19/05/2022,Sum-24,132.75,131.5
20/05/2022,Sum-24,135,132.875
23/05/2022,Sum-24,136.75,129.575
24/05/2022,Sum-24,138,133.925
25/05/2022,Sum-24,135.75,137
26/05/2022,Sum-24,136,135.8
27/05/2022,Sum-24,139,136.75
30/05/2022,Sum-24,137.25,137.4
31/05/2022,Sum-24,140.25,143.175
01/06/2022,Sum-24,140.75,142.425
06/06/2022,Sum-24,143.75,148
07/06/2022,Sum-24,140,147.85
08/06/2022,Sum-24,141.6,148
09/06/2022,Sum-24,144,149
10/06/2022,Sum-24,144,148.75
13/06/2022,Sum-24,144.75,150.9
14/06/2022,Sum-24,146.2,153.65
15/06/2022,Sum-24,147.1,157.475
16/06/2022,Sum-24,147.5,155
17/06/2022,Sum-24,146.8,147.75
20/06/2022,Sum-24,144.75,143.775
21/06/2022,Sum-24,145,149.825
22/06/2022,Sum-24,146.25,149.025
23/06/2022,Sum-24,146.75,154.075
24/06/2022,Sum-24,144,144.25
27/06/2022,Sum-24,142.75,139.375
28/06/2022,Sum-24,142.5,140.9
29/06/2022,Sum-24,143.75,147.05
30/06/2022,Sum-24,145.5,149.775
01/07/2022,Sum-24,145.75,148.325
04/07/2022,Sum-24,146.75,166.7
05/07/2022,Sum-24,148,171.2
06/07/2022,Sum-24,160,173.925
07/07/2022,Sum-24,165,187.2
08/07/2022,Sum-24,166.75,182.075
11/07/2022,Sum-24,159.75,180.725
12/07/2022,Sum-24,165,182.825
13/07/2022,Sum-24,167.75,186.65
14/07/2022,Sum-24,167.5,183.05
15/07/2022,Sum-24,164,175.325
18/07/2022,Sum-24,163.75,171.25
19/07/2022,Sum-24,176.3,171.3
20/07/2022,Sum-24,176,177
21/07/2022,Sum-24,176.25,179.025
22/07/2022,Sum-24,176.1,182.375
25/07/2022,Sum-24,177.75,184.05
26/07/2022,Sum-24,188,200.175
27/07/2022,Sum-24,191.75,199.25
28/07/2022,Sum-24,192,198.1
29/07/2022,Sum-24,193.75,203.45
01/08/2022,Sum-24,206.75,210.4
02/08/2022,Sum-24,209.25,219.475
03/08/2022,Sum-24,208.2,225.825
04/08/2022,Sum-24,210,226.9
05/08/2022,Sum-24,221.75,234.45
08/08/2022,Sum-24,225.75,231.8
09/08/2022,Sum-24,236.75,253.2
10/08/2022,Sum-24,252.75,274.25
11/08/2022,Sum-24,275,293
12/08/2022,Sum-24,281.75,296.5
15/08/2022,Sum-24,287.75,305.625
16/08/2022,Sum-24,297.5,310.55
17/08/2022,Sum-24,304.75,314.8
18/08/2022,Sum-24,312,338.7
19/08/2022,Sum-24,324.75,380
22/08/2022,Sum-24,364.75,419.7
23/08/2022,Sum-24,354,404.8
24/08/2022,Sum-24,364.75,415.025
25/08/2022,Sum-24,378.3,434.575
26/08/2022,Sum-24,384,455.4
