,pred
2023-11-14 23:30:00,16.538958
2023-11-15 00:00:00,-2.1068537
2023-11-15 00:30:00,-2.1068537
2023-11-15 01:00:00,1.9796491
2023-11-15 01:30:00,1.9796491
2023-11-15 02:00:00,-3.7293494
2023-11-15 02:30:00,-3.7293494
2023-11-15 03:00:00,-11.022428
2023-11-15 03:30:00,-11.022428
2023-11-15 04:00:00,-15.965175
2023-11-15 04:30:00,-15.965175
2023-11-15 05:00:00,-1.6169798
2023-11-15 05:30:00,-1.6169798
2023-11-15 06:00:00,5.939587
2023-11-15 06:30:00,5.939587
2023-11-15 07:00:00,5.994114
2023-11-15 07:30:00,5.994114
2023-11-15 08:00:00,4.4480014
2023-11-15 08:30:00,4.4480014
2023-11-15 09:00:00,8.201719
2023-11-15 09:30:00,8.201719
2023-11-15 10:00:00,9.287085
2023-11-15 10:30:00,9.287085
2023-11-15 11:00:00,6.494245
2023-11-15 11:30:00,6.494245
2023-11-15 12:00:00,13.427281
2023-11-15 12:30:00,13.427281
2023-11-15 13:00:00,11.815792
2023-11-15 13:30:00,11.815792
2023-11-15 14:00:00,31.458107
2023-11-15 14:30:00,31.458107
2023-11-15 15:00:00,30.545856
2023-11-15 15:30:00,30.545856
2023-11-15 16:00:00,65.07426
2023-11-15 16:30:00,65.07426
2023-11-15 17:00:00,92.11213
2023-11-15 17:30:00,92.11213
2023-11-15 18:00:00,57.181934
2023-11-15 18:30:00,57.181934
2023-11-15 19:00:00,42.00717
2023-11-15 19:30:00,42.00717
2023-11-15 20:00:00,33.64164
2023-11-15 20:30:00,33.64164
2023-11-15 21:00:00,23.793928
2023-11-15 21:30:00,23.793928
2023-11-15 22:00:00,4.722361
2023-11-15 22:30:00,4.722361
2023-11-15 23:00:00,13.6687
2023-11-15 23:30:00,13.6687
2023-11-16 00:00:00,-3.2864754
2023-11-16 00:30:00,-3.2864754
2023-11-16 01:00:00,0.80003124
2023-11-16 01:30:00,0.80003124
2023-11-16 02:00:00,-4.908971
2023-11-16 02:30:00,-4.908971
2023-11-16 03:00:00,-12.202045
2023-11-16 03:30:00,-12.202045
2023-11-16 04:00:00,-17.196623
2023-11-16 04:30:00,-17.196623
2023-11-16 05:00:00,-2.9085207
2023-11-16 05:30:00,-2.9085207
2023-11-16 06:00:00,4.6480517
2023-11-16 06:30:00,4.6480517
2023-11-16 07:00:00,4.7121606
2023-11-16 07:30:00,4.7121606
2023-11-16 08:00:00,3.2374032
2023-11-16 08:30:00,3.2374032
2023-11-16 09:00:00,6.9911284
2023-11-16 09:30:00,6.9911284
2023-11-16 10:00:00,8.076487
2023-11-16 10:30:00,8.076487
2023-11-16 11:00:00,5.2836447
2023-11-16 11:30:00,5.2836447
2023-11-16 12:00:00,12.21669
2023-11-16 12:30:00,12.21669
2023-11-16 13:00:00,10.605192
2023-11-16 13:30:00,10.605192
2023-11-16 14:00:00,30.278837
2023-11-16 14:30:00,30.278837
2023-11-16 15:00:00,29.366552
2023-11-16 15:30:00,29.366552
2023-11-16 16:00:00,63.836445
2023-11-16 16:30:00,63.836445
2023-11-16 17:00:00,90.87431
2023-11-16 17:30:00,90.87431
2023-11-16 18:00:00,55.78015
2023-11-16 18:30:00,55.78015
2023-11-16 19:00:00,40.605392
2023-11-16 19:30:00,40.605392
2023-11-16 20:00:00,32.239864
2023-11-16 20:30:00,32.239864
2023-11-16 21:00:00,21.824503
2023-11-16 21:30:00,21.824503
2023-11-16 22:00:00,7.477652
2023-11-16 22:30:00,7.477652
2023-11-16 23:00:00,12.999186
2023-11-16 23:30:00,12.999186
2023-11-17 00:00:00,-1.1994036
2023-11-17 00:30:00,-1.1994036
2023-11-17 01:00:00,2.8870976
2023-11-17 01:30:00,2.8870976
2023-11-17 02:00:00,-2.9357483
2023-11-17 02:30:00,-2.9357483
2023-11-17 03:00:00,-10.320887
2023-11-17 03:30:00,-10.320887
2023-11-17 04:00:00,-15.058794
2023-11-17 04:30:00,-15.058794
2023-11-17 05:00:00,-0.7706925
2023-11-17 05:30:00,-0.7706925
2023-11-17 06:00:00,6.7858734
2023-11-17 06:30:00,6.7858734
2023-11-17 07:00:00,6.849983
2023-11-17 07:30:00,6.849983
2023-11-17 08:00:00,5.579134
2023-11-17 08:30:00,5.579134
2023-11-17 09:00:00,9.418287
2023-11-17 09:30:00,9.418287
2023-11-17 10:00:00,11.061265
2023-11-17 10:30:00,11.061265
2023-11-17 11:00:00,8.26842
2023-11-17 11:30:00,8.26842
2023-11-17 12:00:00,15.157389
2023-11-17 12:30:00,15.157389
2023-11-17 13:00:00,12.927055
2023-11-17 13:30:00,12.927055
2023-11-17 14:00:00,32.36587
2023-11-17 14:30:00,32.36587
2023-11-17 15:00:00,31.45358
2023-11-17 15:30:00,31.45358
2023-11-17 16:00:00,65.954254
2023-11-17 16:30:00,65.954254
2023-11-17 17:00:00,92.99211
2023-11-17 17:30:00,92.99211
2023-11-17 18:00:00,57.897945
2023-11-17 18:30:00,57.897945
2023-11-17 19:00:00,42.723186
2023-11-17 19:30:00,42.723186
2023-11-17 20:00:00,34.357662
2023-11-17 20:30:00,34.357662
2023-11-17 21:00:00,23.942299
2023-11-17 21:30:00,23.942299
2023-11-17 22:00:00,10.291466
2023-11-17 22:30:00,10.291466
2023-11-17 23:00:00,17.097301
2023-11-17 23:30:00,17.097301
2023-11-18 00:00:00,3.1554015
2023-11-18 00:30:00,3.1554015
2023-11-18 01:00:00,8.027932
2023-11-18 01:30:00,8.027932
2023-11-18 02:00:00,0.008526636
2023-11-18 02:30:00,0.008526636
2023-11-18 03:00:00,-11.3963375
2023-11-18 03:30:00,-11.3963375
2023-11-18 04:00:00,-15.794348
2023-11-18 04:30:00,-15.794348
2023-11-18 05:00:00,-2.5419424
2023-11-18 05:30:00,-2.5419424
2023-11-18 06:00:00,1.9347246
2023-11-18 06:30:00,1.9347246
2023-11-18 07:00:00,1.9988309
2023-11-18 07:30:00,1.9988309
2023-11-18 08:00:00,0.72797596
2023-11-18 08:30:00,0.72797596
2023-11-18 09:00:00,5.4778514
2023-11-18 09:30:00,5.4778514
2023-11-18 10:00:00,9.74216
2023-11-18 10:30:00,9.74216
2023-11-18 11:00:00,6.9493275
2023-11-18 11:30:00,6.9493275
2023-11-18 12:00:00,13.968535
2023-11-18 12:30:00,13.968535
2023-11-18 13:00:00,11.967437
2023-11-18 13:30:00,11.967437
2023-11-18 14:00:00,31.406229
