Date,N2EX Price
08/07/2022,228.58
09/07/2022,197.90
10/07/2022,188.34
11/07/2022,271.04
12/07/2022,233.02
13/07/2022,264.74
14/07/2022,304.77
15/07/2022,255.96
16/07/2022,200.53
17/07/2022,182.05
18/07/2022,333.11
19/07/2022,240.87
20/07/2022,252.80
21/07/2022,277.71
22/07/2022,287.17
23/07/2022,248.66
24/07/2022,222.64
25/07/2022,230.08
26/07/2022,257.69
27/07/2022,311.51
28/07/2022,327.03
29/07/2022,315.61
30/07/2022,271.53
31/07/2022,258.85
01/08/2022,298.84
02/08/2022,232.06
03/08/2022,245.80
04/08/2022,261.77
05/08/2022,277.80
06/08/2022,254.81
07/08/2022,229.74
08/08/2022,279.29
09/08/2022,286.53
10/08/2022,273.38
11/08/2022,288.04
12/08/2022,336.20
13/08/2022,311.19
14/08/2022,307.35
15/08/2022,348.48
16/08/2022,372.76
17/08/2022,408.68
18/08/2022,405.11
19/08/2022,383.88
20/08/2022,322.41
21/08/2022,346.42
22/08/2022,500.00
23/08/2022,539.59
24/08/2022,526.39
25/08/2022,504.73
26/08/2022,571.09
27/08/2022,472.85
28/08/2022,445.62
29/08/2022,510.10
30/08/2022,521.33
31/08/2022,416.55
01/09/2022,402.44
02/09/2022,318.86
03/09/2022,259.09
04/09/2022,237.28
05/09/2022,282.35
06/09/2022,324.30
07/09/2022,285.26
08/09/2022,267.27
09/09/2022,282.95
10/09/2022,313.78
11/09/2022,323.91
12/09/2022,329.33
13/09/2022,348.98
14/09/2022,336.98
15/09/2022,310.65
16/09/2022,288.70
17/09/2022,210.88
18/09/2022,203.87
19/09/2022,236.45
20/09/2022,322.69
21/09/2022,236.27
22/09/2022,245.21
23/09/2022,257.11
24/09/2022,239.02
25/09/2022,199.61
26/09/2022,177.16
27/09/2022,189.67
28/09/2022,214.22
29/09/2022,291.35
30/09/2022,185.60
01/10/2022,101.39
02/10/2022,170.00
03/10/2022,213.45
04/10/2022,165.33
05/10/2022,116.96
06/10/2022,76.86
07/10/2022,107.45
08/10/2022,152.78
09/10/2022,119.52
10/10/2022,143.03
11/10/2022,187.30
12/10/2022,168.36
13/10/2022,205.36
14/10/2022,183.49
15/10/2022,124.03
16/10/2022,103.91
17/10/2022,112.04
18/10/2022,144.32
19/10/2022,62.07
20/10/2022,95.49
21/10/2022,98.69
22/10/2022,106.93
23/10/2022,84.63
24/10/2022,65.71
25/10/2022,80.55
26/10/2022,68.24
27/10/2022,79.53
28/10/2022,77.64
29/10/2022,88.19
30/10/2022,86.82
31/10/2022,107.88
01/11/2022,87.04
02/11/2022,69.61
